Drivers_id,Team_id,Year,Australia,Malaysia,China,Turkey,Bahrain,Spain,Monaco,Canada,Europe,France,Azerbaijan,Austria,Britain,Germany,Hungary,Belgium,Italy,Netherlands,Singapore,Japan,Russia,Emilia_Romagna,South_Korea,India,Abu_Dhabi,Qatar,Saudi_Arabia,USA,Brazil,Las_Vagas,Miami,Mexico,Total_Points
F1_42,TM_01,2024,0,NULL,33,NULL,26,25,8,25,NULL,NULL,10,18,18,NULL,10,12,8,18,18,26,NULL,25,NULL,NULL,8,26,25,23,31,10,26,8,437
F1_36,TM_02,2024,15,NULL,21,NULL,8,19,12,18,NULL,NULL,13,6,15,NULL,18,10,16,26,25,10,NULL,18,NULL,NULL,25,9,4,18,16,9,25,18,374
F1_07,TM_03,2024,19,NULL,17,NULL,12,10,25,0,NULL,NULL,18,2,0,NULL,12,15,25,15,10,12,NULL,15,NULL,NULL,15,22,16,30,16,12,22,16,356
F1_51,TM_02,2024,12,NULL,6,NULL,4,6,18,10,NULL,NULL,25,25,12,NULL,25,18,18,12,15,4,NULL,12,NULL,NULL,1,23,12,10,11,6,3,4,292
F1_09,TM_03,2024,25,NULL,14,NULL,15,8,15,0,NULL,NULL,0,19,11,NULL,8,8,12,10,6,15,NULL,10,NULL,NULL,18,13,0,25,4,15,14,25,290
F1_18,TM_04,2024,0,NULL,9,NULL,10,12,10,15,NULL,NULL,15,30,0,NULL,5,0,6,6,12,6,NULL,7,NULL,NULL,10,18,8,12,15,25,4,10,245
F1_34,TM_04,2024,0,NULL,9,NULL,6,15,7,13,NULL,NULL,2,15,25,NULL,15,25,10,4,8,2,NULL,8,NULL,NULL,12,3,2,3,1,18,8,12,223
F1_63,TM_01,2024,10,NULL,21,NULL,18,4,0,0,NULL,NULL,0,7,0,NULL,6,7,4,8,1,18,NULL,4,NULL,NULL,0,0,18,6,1,1,18,0,152
F1_14,TM_16,2024,4,NULL,7,NULL,2,0,0,8,NULL,NULL,8,0,4,NULL,0,4,0,1,4,8,NULL,0,NULL,NULL,2,6,10,0,0,0,2,0,70
F1_54,TM_17,2024,0,NULL,0,NULL,0,2,1,2,NULL,NULL,0,1,0,NULL,0,0,0,2,0,0,NULL,0,NULL,NULL,6,10,0,0,17,0,0,1,42
F1_46,TM_20,2024,2,NULL,1,NULL,0,0,0,0,NULL,NULL,0,8,8,NULL,0,0,0,0,2,0,NULL,0,NULL,NULL,4,2,1,5,0,4,2,2,41
F1_72,TM_08,2024,6,NULL,0,NULL,0,0,4,0,NULL,NULL,0,0,1,NULL,2,0,0,0,0,1,NULL,1,NULL,NULL,0,0,0,0,6,2,7,0,30
F1_38,TM_16,2024,8,NULL,0,NULL,1,0,0,6,NULL,NULL,0,0,6,NULL,1,0,0,0,0,0,NULL,2,NULL,NULL,0,0,0,0,0,0,0,0,24
F1_13,TM_17,2024,0,NULL,0,NULL,0,1,0,1,NULL,NULL,0,0,0,NULL,0,2,0,0,0,0,NULL,0,NULL,NULL,0,0,0,0,18,0,1,0,23
F1_32,TM_20,2024,1,NULL,0,NULL,0,0,0,0,NULL,NULL,0,4,0,NULL,0,0,1,0,0,0,NULL,0,NULL,NULL,0,2,0,2,0,0,0,6,16
F1_01,TM_09,2024,0,NULL,0,NULL,0,0,2,0,NULL,NULL,6,0,2,NULL,0,0,2,0,0,0,NULL,0,NULL,NULL,0,0,0,0,0,0,0,0,12
F1_11,TM_08,2024,0,NULL,0,NULL,0,0,0,4,NULL,NULL,0,2,0,NULL,0,1,0,0,0,0,NULL,0,NULL,NULL,0,0,0,0,0,0,5,0,12
F1_50,TM_20,2024,0,NULL,0,NULL,0,0,0,0,NULL,NULL,1,0,0,NULL,0,0,0,0,0,0,NULL,0,NULL,NULL,0,0,6,0,0,0,0,0,7
F1_15,TM_09,2024,0,NULL,0,NULL,0,0,0,0,NULL,NULL,4,0,0,NULL,0,0,0,0,0,0,NULL,0,NULL,NULL,0,0,0,1,0,0,0,0,5
F1_20,TM_07,2024,0,NULL,0,NULL,0,0,0,0,NULL,NULL,0,0,0,NULL,0,0,0,0,0,0,NULL,0,NULL,NULL,0,4,0,0,0,0,0,0,4
F1_35,TM_08,2024,0,NULL,0,NULL,0,0,0,0,NULL,NULL,0,0,0,NULL,0,0,0,0,0,0,NULL,0,NULL,NULL,0,0,0,2,2,0,0,0,4
F1_68,TM_07,2024,0,NULL,0,NULL,0,0,0,0,NULL,NULL,0,0,0,NULL,0,0,0,0,0,0,NULL,0,NULL,NULL,0,0,0,0,0,0,0,0,0
F1_37,TM_09,2024,0,NULL,0,NULL,0,0,0,0,NULL,NULL,0,0,0,NULL,0,0,0,0,0,0,NULL,0,NULL,NULL,0,0,0,0,0,0,0,0,0
F1_26,TM_17,2024,0,NULL,0,NULL,0,0,0,0,NULL,NULL,0,0,0,NULL,0,0,0,0,0,0,NULL,0,NULL,NULL,0,0,0,0,0,0,0,0,0
F1_42,TM_01,2023,25,NULL,NULL,NULL,25,26,25,25,NULL,NULL,24,34,26,NULL,26,33,25,25,10,26,NULL,NULL,NULL,NULL,26,33,19,33,33,25,26,25,575
F1_63,TM_01,2023,11,NULL,NULL,NULL,18,12,0,9,NULL,NULL,33,22,8,NULL,15,18,18,12,4,0,NULL,NULL,NULL,NULL,12,1,25,16,18,15,18,0,285
F1_34,TM_04,2023,18,NULL,NULL,NULL,10,18,13,15,NULL,NULL,10,4,15,NULL,12,15,8,8,16,10,NULL,NULL,NULL,NULL,2,4,10,7,6,6,8,19,234
F1_14,TM_16,2023,15,NULL,NULL,NULL,15,6,18,18,NULL,NULL,15,14,6,NULL,2,10,2,19,0,4,NULL,NULL,NULL,NULL,6,9,15,0,15,2,15,0,206
F1_07,TM_03,2023,0,NULL,NULL,NULL,0,0,8,12,NULL,NULL,22,18,2,NULL,6,19,12,0,12,12,NULL,NULL,NULL,NULL,18,10,6,6,4,18,6,15,206
F1_36,TM_02,2023,8,NULL,NULL,NULL,0,0,2,0,NULL,NULL,2,12,18,NULL,18,9,4,6,18,18,NULL,NULL,NULL,NULL,10,21,0,23,26,0,0,10,205
F1_09,TM_03,2023,0,NULL,NULL,NULL,12,10,4,10,NULL,NULL,14,14,1,NULL,4,5,15,10,25,8,NULL,NULL,NULL,NULL,0,3,8,18,9,8,10,12,200
F1_18,TM_04,2023,0,NULL,NULL,NULL,6,15,10,0,NULL,NULL,10,7,10,NULL,8,9,10,0,0,6,NULL,NULL,NULL,NULL,15,17,12,11,5,4,12,8,175
F1_51,TM_02,2023,4,NULL,NULL,NULL,0,0,1,0,NULL,NULL,0,0,12,NULL,10,7,0,2,6,15,NULL,NULL,NULL,NULL,8,26,0,0,0,2,0,4,97
F1_38,TM_16,2023,12,NULL,NULL,NULL,8,8,0,2,NULL,NULL,7,7,0,NULL,1,2,0,0,0,0,NULL,NULL,NULL,NULL,1,0,0,6,10,10,0,0,74
F1_54,TM_17,2023,0,NULL,NULL,NULL,2,1,6,0,NULL,NULL,0,1,0,NULL,0,6,0,15,8,1,NULL,NULL,NULL,NULL,0,0,2,10,6,0,4,0,62
F1_13,TM_17,2023,0,NULL,NULL,NULL,0,4,15,4,NULL,NULL,0,2,0,NULL,0,4,0,1,0,2,NULL,NULL,NULL,NULL,0,6,4,0,1,12,2,1,58
F1_01,TM_09,2023,0,NULL,NULL,NULL,1,0,0,6,NULL,NULL,0,0,4,NULL,0,0,6,4,0,0,NULL,NULL,NULL,NULL,0,2,0,2,0,0,0,2,27
F1_72,TM_08,2023,1,NULL,NULL,NULL,0,0,0,0,NULL,NULL,1,0,0,NULL,0,1,0,0,0,0,NULL,NULL,NULL,NULL,4,0,0,5,5,0,0,0,17
F1_68,TM_18,2023,0,NULL,NULL,NULL,4,0,0,1,NULL,NULL,0,0,0,NULL,0,0,1,0,0,0,NULL,NULL,NULL,NULL,0,4,0,0,0,0,0,0,10
F1_46,TM_20,2023,6,NULL,NULL,NULL,0,0,0,0,NULL,NULL,0,3,0,NULL,0,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,9
F1_11,TM_08,2023,0,NULL,NULL,NULL,0,0,0,0,NULL,NULL,0,0,0,NULL,0,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,6,6
F1_20,TM_18,2023,2,NULL,NULL,NULL,0,2,0,0,NULL,NULL,0,0,0,NULL,0,0,0,0,0,0,NULL,NULL,NULL,NULL,0,2,0,0,0,0,0,0,6
F1_32,TM_20,2023,0,NULL,NULL,NULL,0,0,0,0,NULL,NULL,0,0,0,NULL,0,0,0,0,1,0,NULL,NULL,NULL,NULL,0,0,1,0,0,0,1,0,3
F1_35,TM_08,2023,0,NULL,NULL,NULL,0,0,0,0,NULL,NULL,0,0,0,NULL,0,0,0,0,2,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,2
F1_37,TM_09,2023,0,NULL,NULL,NULL,0,0,0,0,NULL,NULL,0,0,0,NULL,0,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,0,1,0,0,0,0,1
F1_44,TM_08,2023,0,NULL,NULL,NULL,0,0,0,0,NULL,NULL,0,0,0,NULL,0,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0
F1_42,TM_01,2022,0,NULL,NULL,NULL,0,25,15,25,NULL,25,25,27,6,NULL,25,26,25,26,6,25,NULL,34,NULL,NULL,25,NULL,25,25,13,NULL,26,25,454
F1_07,TM_03,2022,26,NULL,NULL,NULL,26,0,12,10,NULL,0,0,32,12,NULL,8,8,18,15,18,15,NULL,15,NULL,NULL,18,NULL,19,15,15,NULL,18,8,308
F1_63,TM_01,2022,18,NULL,NULL,NULL,0,19,25,0,NULL,12,19,4,18,NULL,10,18,9,10,25,18,NULL,24,NULL,NULL,15,NULL,12,12,10,NULL,12,15,305
F1_18,TM_04,2022,15,NULL,NULL,NULL,12,15,10,12,NULL,15,15,17,0,NULL,15,12,15,18,0,4,NULL,12,NULL,NULL,10,NULL,10,11,34,NULL,10,13,275
F1_09,TM_03,2022,0,NULL,NULL,NULL,18,12,18,19,NULL,11,0,6,25,NULL,12,15,12,4,15,0,NULL,5,NULL,NULL,12,NULL,15,0,22,NULL,15,10,246
F1_34,TM_04,2022,12,NULL,NULL,NULL,15,10,4,15,NULL,18,12,16,16,NULL,19,0,10,12,2,10,NULL,0,NULL,NULL,0,NULL,1,18,24,NULL,8,18,240
F1_36,TM_02,2022,10,NULL,NULL,NULL,0,4,9,0,NULL,6,2,6,8,NULL,6,0,6,6,12,1,NULL,19,NULL,NULL,9,NULL,6,8,2,NULL,0,2,122
F1_13,TM_17,2022,6,NULL,NULL,NULL,6,6,0,8,NULL,4,1,13,0,NULL,2,6,0,2,0,12,NULL,0,NULL,NULL,6,NULL,8,0,4,NULL,4,4,92
F1_14,TM_17,2022,0,NULL,NULL,NULL,2,2,6,2,NULL,8,6,1,10,NULL,4,10,0,8,0,6,NULL,0,NULL,NULL,0,NULL,0,6,10,NULL,0,0,81
F1_68,TM_18,2022,4,NULL,NULL,NULL,8,8,2,6,NULL,0,0,0,0,NULL,0,0,0,0,0,0,NULL,12,NULL,NULL,0,NULL,0,0,2,NULL,6,1,49
F1_11,TM_02,2022,8,NULL,NULL,NULL,0,0,0,0,NULL,2,4,2,0,NULL,0,0,0,0,10,0,NULL,3,NULL,NULL,2,NULL,0,0,0,NULL,0,6,37
F1_66,TM_16,2022,0,NULL,NULL,NULL,0,0,1,0,NULL,0,8,0,2,NULL,1,4,0,0,4,8,NULL,4,NULL,NULL,1,NULL,0,4,0,NULL,0,0,37
F1_32,TM_20,2022,0,NULL,NULL,NULL,10,0,0,0,NULL,0,0,6,1,NULL,0,0,0,0,0,0,NULL,3,NULL,NULL,0,NULL,2,2,1,NULL,0,0,25
F1_54,TM_08,2022,2,NULL,NULL,NULL,0,0,0,0,NULL,0,10,0,0,NULL,0,2,4,0,1,0,NULL,0,NULL,NULL,0,NULL,4,0,0,NULL,0,0,23
F1_38,TM_16,2022,0,NULL,NULL,NULL,0,0,0,1,NULL,1,0,0,0,NULL,0,0,0,1,8,0,NULL,1,NULL,NULL,4,NULL,0,0,1,NULL,1,0,18
F1_41,TM_20,2022,0,NULL,NULL,NULL,0,0,0,0,NULL,0,0,8,4,NULL,0,0,0,0,0,0,NULL,0,NULL,NULL,0,NULL,0,0,0,NULL,0,0,12
F1_72,TM_08,2022,0,NULL,NULL,NULL,4,1,0,0,NULL,0,0,0,0,NULL,0,0,0,0,0,0,NULL,6,NULL,NULL,0,NULL,0,1,0,NULL,0,0,12
F1_20,TM_18,2022,0,NULL,NULL,NULL,1,0,0,4,NULL,0,0,0,0,NULL,0,0,1,0,0,0,NULL,0,NULL,NULL,0,NULL,0,0,0,NULL,0,0,6
F1_01,TM_09,2022,1,NULL,NULL,NULL,0,0,0,0,NULL,0,0,0,0,NULL,0,1,0,0,0,0,NULL,0,NULL,NULL,0,NULL,0,0,0,NULL,2,0,4
F1_48,TM_09,2022,0,NULL,NULL,NULL,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,0,2,NULL,0,NULL,NULL,0,NULL,0,0,0,NULL,0,0,2
F1_44,TM_09,2022,0,NULL,NULL,NULL,0,0,0,0,NULL,0,0,0,0,NULL,0,0,2,0,0,0,NULL,0,NULL,NULL,0,NULL,0,0,0,NULL,0,0,2
F1_46,TM_16,2022,0,NULL,NULL,NULL,0,0,0,0,NULL,0,0,0,0,NULL,0,0,0,0,0,0,NULL,0,NULL,NULL,0,NULL,0,0,0,NULL,0,0,0
F1_34,TM_04,2019,18,18,25,NULL,NULL,26,25,25,NULL,25,18,10,26,2,25,18,16,NULL,12,16,26,NULL,NULL,25,26,NULL,NULL,18,6,NULL,NULL,25,413
F1_68,TM_04,2019,26,12,18,NULL,NULL,18,15,13,NULL,18,25,15,18,0,4,15,18,NULL,10,25,18,NULL,NULL,18,12,NULL,NULL,25,0,NULL,NULL,15,326
F1_42,TM_01,2019,15,10,12,NULL,NULL,15,12,10,NULL,12,12,26,10,26,19,0,4,NULL,15,0,12,NULL,NULL,6,18,NULL,NULL,15,25,NULL,NULL,8,278
F1_07,TM_03,2019,10,0,10,NULL,NULL,10,0,15,NULL,15,11,18,15,0,12,25,25,NULL,18,8,15,NULL,NULL,15,15,NULL,NULL,13,0,NULL,NULL,13,264
F1_66,TM_03,2019,12,15,15,NULL,NULL,12,18,18,NULL,11,15,12,0,18,15,13,0,NULL,25,18,0,NULL,NULL,4,10,NULL,NULL,0,0,NULL,NULL,18,240
F1_09,TM_02,2019,0,25,0,NULL,NULL,4,8,0,NULL,8,6,4,8,10,10,0,0,NULL,0,10,8,NULL,NULL,8,1,NULL,NULL,4,15,NULL,NULL,0,96
F1_54,TM_08,2019,0,8,9,NULL,NULL,8,11,4,NULL,1,0,6,12,0,8,2,0,NULL,4,6,0,NULL,NULL,0,0,NULL,NULL,0,18,NULL,NULL,2,95
F1_01,TM_01,2019,0,1,1,NULL,NULL,0,4,0,NULL,0,0,0,0,8,1,10,8,NULL,8,12,10,NULL,NULL,12,8,NULL,NULL,10,0,NULL,NULL,10,92
F1_11,TM_14,2019,0,0,6,NULL,NULL,0,2,8,NULL,0,0,0,6,0,0,0,12,NULL,0,0,0,NULL,NULL,0,0,NULL,NULL,8,8,NULL,NULL,4,54
F1_63,TM_15,2019,0,0,4,NULL,NULL,0,0,0,NULL,0,8,0,0,0,0,8,6,NULL,0,4,6,NULL,NULL,1,6,NULL,NULL,1,2,NULL,NULL,6,52
F1_36,TM_02,2019,0,2,0,NULL,NULL,0,0,0,NULL,2,4,8,0,0,2,0,1,NULL,6,0,4,NULL,NULL,10,4,NULL,NULL,6,4,NULL,NULL,0,49
F1_33,TM_18,2019,4,4,2,NULL,NULL,0,0,0,NULL,6,1,2,4,0,6,0,0,NULL,0,0,0,NULL,NULL,2,0,NULL,NULL,0,12,NULL,NULL,0,43
F1_10,TM_08,2019,1,0,0,NULL,NULL,2,6,1,NULL,0,0,0,2,15,0,6,0,NULL,0,1,0,NULL,NULL,0,2,NULL,NULL,0,1,NULL,NULL,0,37
F1_46,TM_14,2019,6,0,0,NULL,NULL,0,0,6,NULL,4,0,0,1,0,0,4,10,NULL,2,0,1,NULL,NULL,0,0,NULL,NULL,2,0,NULL,NULL,1,37
F1_38,TM_15,2019,2,0,0,NULL,NULL,0,0,2,NULL,0,2,0,0,12,0,1,0,NULL,0,2,0,NULL,NULL,0,0,NULL,NULL,0,0,NULL,NULL,0,21
F1_32,TM_20,2019,8,6,0,NULL,NULL,6,0,0,NULL,0,0,0,0,4,0,0,0,NULL,0,0,2,NULL,NULL,0,0,NULL,NULL,0,0,NULL,NULL,0,20
F1_02,TM_18,2019,0,0,0,NULL,NULL,0,0,0,NULL,0,0,1,0,0,0,0,2,NULL,1,0,0,NULL,NULL,0,0,NULL,NULL,0,10,NULL,NULL,0,14
F1_58,TM_20,2019,0,0,0,NULL,NULL,1,1,0,NULL,0,0,0,0,6,0,0,0,NULL,0,0,0,NULL,NULL,0,0,NULL,NULL,0,0,NULL,NULL,0,8
F1_60,TM_09,2019,0,0,0,NULL,NULL,0,0,0,NULL,0,0,0,0,1,0,0,0,NULL,0,0,0,NULL,NULL,0,0,NULL,NULL,0,0,NULL,NULL,0,1
F1_18,TM_09,2019,0,0,0,NULL,NULL,0,0,0,NULL,0,0,0,0,0,0,0,0,NULL,0,0,0,NULL,NULL,0,0,NULL,NULL,0,0,NULL,NULL,0,0
F1_34,TM_04,2018,18,18,12,NULL,NULL,25,15,10,NULL,25,25,0,18,25,25,18,25,NULL,25,25,25,NULL,NULL,25,25,NULL,NULL,15,25,NULL,NULL,12,408
F1_66,TM_03,2018,25,12,4,NULL,NULL,12,18,25,NULL,10,12,15,25,0,18,25,12,NULL,15,8,15,NULL,NULL,18,18,NULL,NULL,12,8,NULL,NULL,18,320
F1_33,TM_03,2018,15,10,15,NULL,NULL,0,12,8,NULL,15,18,18,15,15,15,0,18,NULL,10,10,12,NULL,NULL,6,0,NULL,NULL,25,15,NULL,NULL,15,251
F1_42,TM_01,2018,8,0,10,NULL,NULL,15,2,15,NULL,18,0,25,0,12,0,15,10,NULL,18,15,10,NULL,NULL,15,15,NULL,NULL,18,18,NULL,NULL,25,249
